Zone,Count,Proportion
Total,11700,1.0
Transitional plain zone of Inland drainage,5359,0.45803418803418805
Semi arid eastern plain,2014,0.17213675213675214
Transitional plain zone of Luni Basin,1214,0.10376068376068376
Flood prone eastern plain,961,0.08213675213675213
Sub humid southern plain and alluvial hill,745,0.06367521367521367
South eastern humid plain,505,0.04316239316239316
Southern humid plain,428,0.03658119658119658
Arid Western Plain and Hyper Arid Partial irrigated,403,0.034444444444444444
Irrigated North Western Plain,71,0.006068376068376068
